model,critical_length,minimal_number_of_queries,number_of_non_explainable,all_explainable_minimal_number_of_queries
model85580.csv,18,8,10,18
model2046.csv,13,8,13,21
model35459.csv,12,6,7,13
model99121.csv,13,7,9,16
model111234.csv,13,6,19,25
model3233.csv,12,7,16,23
model55476.csv,13,7,18,25
model108876.csv,16,6,14,20
model32861.csv,14,6,22,28
model96634.csv,15,7,16,23
model101523.csv,15,8,13,21
model70973.csv,15,7,13,20
model28818.csv,12,9,6,15
model116343.csv,13,7,14,21
model91161.csv,15,10,5,15
model21453.csv,15,6,17,23
model109474.csv,12,6,20,26
model112771.csv,12,7,11,18
model75124.csv,16,6,17,23
model64889.csv,14,7,8,15
model32124.csv,11,6,19,25
model67226.csv,12,6,16,22
model32961.csv,14,7,21,28
model13033.csv,12,6,15,21
model9292.csv,12,8,14,22
model112482.csv,19,7,14,21
model81563.csv,14,7,5,12
model104869.csv,13,7,12,19
model72616.csv,19,6,10,16
model45488.csv,15,8,12,20
model91472.csv,17,8,15,23
model91313.csv,13,6,20,26
model81170.csv,14,7,17,24
model94913.csv,17,9,17,26
model71153.csv,13,6,14,20
model91245.csv,16,9,14,23
model27599.csv,11,6,13,19
model79236.csv,14,8,18,26
model39270.csv,13,8,4,12
model60149.csv,13,6,14,20
model105147.csv,16,8,14,22
model47719.csv,14,6,9,15
model100522.csv,16,8,12,20
model100364.csv,14,7,13,20
model21137.csv,17,7,15,22
model37536.csv,13,7,22,29
model101031.csv,15,6,16,22
model83148.csv,15,7,15,22
model45747.csv,17,9,12,21
model68421.csv,16,8,10,18
model25502.csv,10,7,4,11
model29610.csv,12,6,19,25
model6228.csv,13,8,12,20
model21187.csv,14,8,16,24
model38727.csv,15,6,12,18
model120408.csv,16,9,18,27
model32306.csv,12,8,17,25
model90798.csv,16,9,12,21
model100002.csv,15,7,12,19
model3750.csv,10,7,4,11
model45350.csv,15,6,14,20
model59349.csv,12,9,11,20
model88568.csv,15,7,13,20
model43892.csv,14,6,12,18
model109352.csv,13,6,17,23
model44820.csv,16,10,12,22
model120902.csv,15,6,20,26
model114145.csv,18,9,17,26
model58409.csv,15,7,19,26
model124147.csv,15,8,18,26
model123350.csv,16,8,19,27
model3119.csv,13,7,16,23
model20375.csv,17,7,14,21
model54836.csv,11,6,8,14
model32198.csv,13,8,17,25
model90350.csv,16,7,15,22
model79887.csv,14,8,12,20
model94313.csv,18,6,15,21
model98207.csv,17,10,16,26
model51651.csv,15,7,19,26
model25669.csv,14,7,11,18
model20045.csv,13,7,16,23
model59449.csv,11,8,10,18
model108729.csv,13,9,3,12
model50890.csv,13,7,20,27
model26827.csv,11,6,16,22
model36643.csv,14,8,18,26
model83098.csv,18,7,14,21
model104593.csv,16,6,14,20
model1518.csv,10,8,2,10
model42270.csv,14,8,16,24
model58089.csv,16,7,18,25
model50954.csv,15,7,20,27
model7617.csv,13,9,13,22
model110943.csv,14,7,11,18
model115992.csv,13,6,15,21
model77581.csv,16,6,14,20
model71335.csv,15,8,12,20
model79291.csv,11,6,13,19
model86777.csv,18,8,11,19
model94516.csv,16,7,7,14
model93867.csv,17,7,12,19
model39891.csv,17,8,12,20
model124074.csv,12,7,20,27
model76745.csv,19,10,11,21
model67974.csv,17,8,13,21
model58665.csv,11,8,10,18
model106061.csv,16,9,14,23
model73235.csv,13,6,16,22
model77604.csv,18,8,13,21
model53464.csv,15,7,17,24
model51636.csv,12,7,20,27
model120534.csv,15,7,20,27
model60357.csv,10,6,18,24
model76875.csv,19,8,13,21
model115175.csv,14,6,20,26
model19995.csv,16,10,13,23
model113152.csv,15,8,18,26
model115535.csv,13,7,13,20
model102507.csv,17,10,8,18
model54032.csv,14,7,18,25
model106540.csv,12,6,8,14
model70542.csv,16,7,13,20
model105045.csv,15,7,15,22
model35498.csv,9,7,18,25
model13496.csv,16,6,16,22
model95135.csv,19,6,18,24
model57638.csv,15,7,19,26
model38914.csv,14,8,12,20
model83493.csv,16,8,16,24
model74348.csv,17,8,14,22
model97916.csv,14,6,21,27
model19403.csv,11,6,15,21
model38970.csv,16,7,13,20
model45859.csv,11,8,6,14
model88682.csv,14,7,16,23
model15668.csv,12,8,16,24
model68438.csv,16,7,13,20
model39364.csv,10,7,7,14
model58934.csv,12,8,1,9
model74817.csv,15,6,14,20
model119014.csv,16,6,19,25
model53936.csv,15,9,15,24
model47844.csv,14,7,17,24
model97260.csv,15,6,20,26
model54849.csv,13,6,12,18
model121575.csv,17,7,20,27
model28985.csv,15,7,20,27
model35291.csv,10,8,4,12
model69065.csv,14,8,13,21
model86984.csv,15,6,6,12
model56244.csv,14,6,17,23
model54478.csv,15,6,19,25
model34836.csv,12,7,22,29
model16283.csv,13,8,20,28
model56766.csv,13,6,17,23
model74530.csv,15,6,6,12
model94082.csv,19,8,14,22
model39667.csv,15,7,16,23
model79276.csv,11,6,7,13
model20376.csv,17,8,13,21
model28553.csv,12,7,8,15
model24982.csv,10,8,2,10
model80063.csv,14,7,16,23
model62094.csv,14,7,12,19
model10874.csv,11,7,7,14
model102575.csv,13,6,12,18
model38619.csv,12,7,3,10
model69024.csv,16,7,13,20
model76511.csv,16,6,17,23
model46660.csv,12,6,16,22
model44313.csv,16,7,11,18
model98416.csv,12,6,21,27
model7935.csv,12,6,16,22
model9734.csv,14,7,14,21
model6629.csv,14,7,17,24
model60097.csv,13,9,11,20
model48161.csv,17,8,18,26
model49472.csv,13,6,19,25
model71394.csv,15,6,14,20
model16104.csv,12,6,20,26
model24363.csv,15,7,17,24
model24340.csv,14,6,19,25
model55344.csv,14,6,17,23
model1205.csv,10,6,11,17
model64699.csv,11,7,3,10
model44699.csv,14,8,11,19
model14333.csv,11,9,2,11
model11500.csv,15,7,12,19
model69019.csv,16,7,14,21
model110834.csv,16,6,15,21
model40740.csv,12,6,6,12
model21166.csv,13,7,16,23
model27776.csv,12,7,12,19
model13167.csv,13,6,17,23
model67000.csv,16,6,15,21
model117411.csv,13,10,1,11
model71208.csv,15,7,13,20
model100348.csv,13,6,15,21
model105044.csv,15,7,16,23
model58825.csv,10,7,12,19
model10984.csv,11,8,12,20
model79935.csv,15,7,15,22
model113317.csv,16,8,17,25
model61915.csv,10,6,14,20
model79231.csv,15,6,16,22
model51614.csv,13,8,19,27
model61902.csv,13,6,4,10
model26067.csv,13,8,12,20
model22998.csv,15,6,21,27
model24088.csv,14,6,19,25
model72990.csv,18,8,9,17
model1458.csv,12,10,12,22
model53988.csv,13,7,19,26
model6524.csv,13,6,14,20
model123123.csv,14,7,20,27
model117584.csv,14,7,6,13
model8459.csv,12,7,18,25
model86884.csv,16,6,16,22
model38585.csv,14,8,10,18
model109179.csv,15,7,16,23
model91120.csv,13,6,12,18
model37564.csv,13,6,22,28
model116573.csv,13,6,19,25
model92567.csv,16,8,11,19
model6305.csv,15,6,16,22
model50753.csv,13,6,21,27
model108443.csv,15,7,14,21
model14644.csv,13,7,6,13
model97794.csv,19,6,20,26
model82286.csv,15,7,15,22
model111540.csv,13,6,14,20
model97109.csv,13,7,17,24
model18228.csv,13,10,10,20
model66203.csv,15,8,10,18
model19177.csv,14,7,16,23
model75288.csv,17,7,16,23
model101295.csv,11,6,13,19
model66939.csv,16,8,12,20
model42336.csv,10,8,2,10
model35941.csv,13,7,15,22
model77429.csv,15,8,14,22
model41520.csv,16,8,16,24
model59758.csv,10,6,3,9
model38185.csv,14,8,11,19
model277.csv,10,7,11,18
model46671.csv,14,6,6,12
model83527.csv,15,8,17,25
model68853.csv,17,7,13,20
model35945.csv,13,6,17,23
model23342.csv,13,8,18,26
model18006.csv,14,9,10,19
model10757.csv,11,7,9,16
model6156.csv,12,7,19,26
model94707.csv,16,9,15,24
model78506.csv,15,8,12,20
model41475.csv,15,10,13,23
model81686.csv,13,7,17,24
model45222.csv,15,6,17,23
model46845.csv,11,8,3,11
model18937.csv,15,6,10,16
model14369.csv,14,7,13,20
model98840.csv,15,8,9,17
model24898.csv,12,7,11,18
model106651.csv,13,8,15,23
model93573.csv,18,6,16,22
model79774.csv,14,8,4,12
model122062.csv,13,7,20,27
model23464.csv,14,6,22,28
model17726.csv,14,8,11,19
model7327.csv,14,8,18,26
model63062.csv,15,9,13,22
model11830.csv,14,9,7,16
model100177.csv,13,7,4,11
model117466.csv,13,9,1,10
model25412.csv,13,8,12,20
model135.csv,9,6,10,16
model11229.csv,13,8,10,18
model68322.csv,13,8,4,12
model65116.csv,13,7,11,18
model92721.csv,16,8,4,12
model15678.csv,13,8,15,23
model71856.csv,16,7,9,16
model9031.csv,13,7,14,21
model2741.csv,11,6,16,22
model37873.csv,12,6,19,25
model113276.csv,16,6,20,26
model115683.csv,17,9,6,15
model91055.csv,18,7,15,22
model80730.csv,12,6,8,14
model123081.csv,13,6,21,27
model110004.csv,14,7,18,25
model107429.csv,14,7,13,20
model93357.csv,15,6,17,23
model61254.csv,13,6,13,19
model105060.csv,13,7,15,22
model23052.csv,14,6,18,24
model53877.csv,16,11,14,25
model57587.csv,13,8,20,28
model30666.csv,16,8,18,26
model72540.csv,15,8,12,20
model67225.csv,13,6,15,21
model35873.csv,15,8,14,22
model64461.csv,13,6,7,13
model61861.csv,14,7,14,21
model89073.csv,16,9,8,17
model3784.csv,11,9,12,21
model11558.csv,13,7,13,20
model103493.csv,16,7,13,20
model24462.csv,15,8,15,23
model2529.csv,11,8,17,25
model44180.csv,16,8,14,22
model96131.csv,14,6,13,19
model43232.csv,14,7,12,19
model27640.csv,14,6,17,23
model122831.csv,17,7,19,26
model120010.csv,17,6,20,26
model92652.csv,15,6,17,23
model54890.csv,12,9,6,15
model65596.csv,13,7,11,18
model42770.csv,13,7,10,17
model28891.csv,11,8,2,10
model76297.csv,14,6,14,20
model109367.csv,14,6,17,23
model119313.csv,13,7,20,27
model101870.csv,14,6,10,16
model56377.csv,17,8,16,24
model78373.csv,13,7,10,17
model67963.csv,16,6,14,20
model12536.csv,14,6,16,22
model78014.csv,13,7,9,16
model23777.csv,14,7,18,25
model111792.csv,15,6,7,13
model117248.csv,15,8,6,14
model60972.csv,14,9,12,21
model68992.csv,17,9,12,21
model80486.csv,13,6,21,27
model10037.csv,12,6,13,19
model56615.csv,13,7,9,16
model96585.csv,12,7,6,13
model18901.csv,16,10,8,18
model106365.csv,15,6,17,23
model111146.csv,18,6,15,21
model73852.csv,13,9,1,10
model108600.csv,16,8,13,21
model9789.csv,14,10,12,22
model69667.csv,13,7,4,11
model121324.csv,18,7,19,26
model120704.csv,19,8,18,26
model38969.csv,16,8,13,21
model100601.csv,16,7,13,20
model58057.csv,16,9,16,25
model110708.csv,17,8,13,21
model71193.csv,15,8,12,20
model66301.csv,14,7,10,17
model39871.csv,15,7,15,22
model59397.csv,12,8,11,19
model256.csv,10,6,13,19
model36487.csv,16,9,17,26
model63786.csv,15,8,16,24
model57329.csv,11,6,23,29
model119081.csv,15,6,20,26
model35961.csv,11,7,4,11
model83481.csv,14,6,18,24
model97084.csv,13,7,17,24
model38584.csv,14,7,11,18
model101924.csv,16,6,10,16
model50014.csv,18,6,20,26
model52812.csv,14,8,15,23
model103504.csv,16,7,12,19
model23606.csv,15,7,18,25
model54814.csv,12,8,5,13
model85641.csv,17,10,8,18
model79267.csv,11,6,4,10
model15879.csv,15,7,16,23
model119307.csv,13,7,19,26
model100371.csv,16,8,13,21
model90555.csv,18,8,14,22
model77483.csv,16,7,14,21
model67160.csv,16,7,13,20
model2317.csv,12,7,6,13
model42373.csv,11,6,2,8
model76127.csv,15,6,5,11
model105914.csv,15,6,16,22
model56819.csv,15,8,15,23
model71404.csv,15,6,14,20
model116553.csv,14,6,17,23
model109656.csv,18,6,18,24
model95359.csv,15,6,20,26
model19678.csv,12,6,16,22
model92155.csv,17,7,16,23
model15008.csv,14,6,16,22
model79186.csv,15,6,16,22
model109122.csv,18,6,15,21
model91739.csv,11,7,9,16
model17633.csv,11,6,15,21
model123458.csv,18,7,19,26
model48016.csv,15,6,14,20
model120259.csv,15,7,21,28
model71881.csv,16,9,8,17
model110898.csv,14,6,16,22
model4577.csv,13,10,15,25
model115423.csv,11,7,7,14
model99319.csv,13,7,7,14
model109609.csv,17,7,16,23
model97089.csv,14,8,15,23
model94401.csv,14,9,6,15
model40694.csv,15,7,14,21
model32490.csv,12,6,22,28
model115808.csv,14,7,7,14
model121942.csv,16,6,21,27
model77971.csv,13,8,8,16
model87735.csv,13,7,15,22
model67716.csv,16,8,13,21
model39558.csv,14,6,18,24
model56703.csv,13,8,16,24
model67725.csv,15,9,12,21
model1306.csv,10,8,2,10
model19444.csv,12,6,16,22
model99139.csv,14,7,11,18
model66361.csv,13,6,14,20
model42325.csv,8,7,0,7
model67440.csv,14,7,14,21
model88750.csv,12,8,3,11
model44151.csv,15,9,14,23
model22237.csv,13,8,6,14
model73100.csv,16,7,9,16
model122364.csv,13,6,20,26
model92742.csv,14,6,14,20
model93912.csv,15,7,12,19
model12642.csv,10,6,14,20
model87491.csv,16,7,17,24
model6737.csv,13,7,22,29
model86531.csv,12,6,4,10
model65376.csv,14,10,7,17
model48194.csv,17,7,18,25
model20302.csv,12,7,15,22
model50363.csv,10,6,11,17
model44090.csv,16,9,11,20
model64162.csv,12,6,14,20
model44437.csv,14,7,14,21
model65431.csv,13,7,11,18
model103140.csv,14,6,3,9
model28274.csv,16,8,17,25
model34410.csv,11,6,22,28
model9480.csv,13,8,19,27
model116476.csv,14,6,18,24
model54472.csv,15,8,19,27
model75538.csv,15,6,13,19
model52797.csv,17,8,15,23
model33403.csv,12,7,9,16
model26046.csv,11,7,5,12
model26863.csv,14,8,13,21
model35601.csv,14,9,17,26
model116420.csv,14,8,16,24
model79253.csv,15,6,16,22
model12218.csv,14,6,17,23
model62833.csv,14,8,12,20
model25969.csv,11,7,13,20
model111625.csv,13,9,1,10
model109886.csv,16,7,16,23
model122319.csv,16,8,18,26
model121447.csv,19,10,17,27
model84037.csv,15,6,19,25
model68627.csv,16,7,13,20
model102032.csv,11,7,6,13
model55696.csv,11,6,8,14
model86654.csv,14,7,11,18
model117230.csv,12,7,3,10
model18942.csv,15,8,10,18
model45443.csv,13,6,6,12
model43477.csv,14,7,10,17
model103341.csv,14,9,11,20
model57708.csv,15,8,18,26
model121009.csv,16,6,20,26
model109014.csv,17,6,15,21
model121714.csv,14,6,21,27
model50440.csv,11,7,13,20
model87611.csv,14,8,10,18
model111444.csv,15,7,6,13
model50304.csv,14,6,18,24
model75042.csv,15,7,11,18
model8249.csv,14,10,13,23
model91881.csv,13,7,18,25
model21512.csv,15,10,17,27
model12628.csv,10,7,5,12
model17035.csv,11,8,5,13
model17044.csv,10,6,7,13
model39324.csv,16,7,13,20
model113383.csv,14,6,19,25
model40444.csv,15,9,16,25
model53011.csv,14,7,15,22
model24645.csv,13,6,15,21
model66874.csv,15,7,12,19
model87138.csv,16,10,13,23
model93538.csv,18,8,14,22
model12090.csv,15,7,14,21
model95898.csv,13,6,12,18
model120526.csv,14,8,20,28
model12042.csv,15,9,13,22
model96681.csv,16,8,7,15
model26150.csv,14,8,12,20
model102774.csv,13,9,7,16
model29632.csv,13,7,18,25
model94793.csv,17,8,15,23
model37831.csv,11,7,19,26
model40213.csv,14,7,17,24
model12.csv,6,5,3,8
model26022.csv,12,8,3,11
model61920.csv,12,6,13,19
model24011.csv,12,8,7,15
model26525.csv,14,7,16,23
model45359.csv,15,7,13,20
model97773.csv,17,6,21,27
model50275.csv,14,8,17,25
model5566.csv,12,6,14,20
model101064.csv,13,7,17,24
model121207.csv,17,7,19,26
model61615.csv,12,8,14,22
model82468.csv,15,8,15,23
model16126.csv,14,7,18,25
model58924.csv,10,7,2,9
model65688.csv,14,6,9,15
model91843.csv,12,6,17,23
model9896.csv,13,7,20,27
model27090.csv,15,6,14,20
model43072.csv,15,8,9,17
model32091.csv,12,8,15,23
model26446.csv,14,8,14,22
model73230.csv,14,6,14,20
model14332.csv,10,8,2,10
model46031.csv,15,9,17,26
model98395.csv,16,8,18,26
model68577.csv,13,8,1,9
model29399.csv,11,6,19,25
model45420.csv,16,9,13,22
model58605.csv,10,8,11,19
model69344.csv,12,8,14,22
model22899.csv,17,6,15,21
model55626.csv,13,8,16,24
model32271.csv,13,6,10,16
model14344.csv,13,7,7,14
model61334.csv,12,7,13,20
model49821.csv,16,6,20,26
model94523.csv,14,7,8,15
model91415.csv,14,8,6,14
model31878.csv,12,6,20,26
model6714.csv,13,8,21,29
model84318.csv,16,8,16,24
model20794.csv,15,8,13,21
model91525.csv,16,9,16,25
model57981.csv,16,7,19,26
model118084.csv,12,6,11,17
model89690.csv,13,8,12,20
model115118.csv,19,6,19,25
model7468.csv,11,7,14,21
model53773.csv,13,10,7,17
model59654.csv,14,6,10,16
model100705.csv,10,7,3,10
model67441.csv,14,8,13,21
model123268.csv,17,7,19,26
model25567.csv,10,7,11,18
model56561.csv,13,7,17,24
model37629.csv,11,7,23,30
model94568.csv,15,6,8,14
model38347.csv,13,6,11,17
model5194.csv,10,7,14,21
model97344.csv,15,6,20,26
model85061.csv,16,9,8,17
model82895.csv,18,7,16,23
model8433.csv,10,6,20,26
model39506.csv,13,6,17,23
model64433.csv,14,8,5,13
model114791.csv,17,7,19,26
model46267.csv,14,6,18,24
model96263.csv,16,10,12,22
model113710.csv,19,7,17,24
model81445.csv,14,6,14,20
model37783.csv,14,6,19,25
model96614.csv,14,7,13,20
model26781.csv,14,7,14,21
model55936.csv,15,8,17,25
model8383.csv,13,7,18,25
model47337.csv,14,7,17,24
model13791.csv,14,6,16,22
model34200.csv,12,7,21,28
model10025.csv,12,7,4,11
model47504.csv,14,7,17,24
model84497.csv,15,9,16,25
model100163.csv,14,9,3,12
model67020.csv,16,6,14,20
model19418.csv,16,10,11,21
model47228.csv,15,6,18,24
model90629.csv,13,6,17,23
model48958.csv,15,7,17,24
model78523.csv,12,6,14,20
model42204.csv,13,6,18,24
model43257.csv,15,8,10,18
model63076.csv,14,6,14,20
model115617.csv,15,7,10,17
model44233.csv,13,7,5,12
model99533.csv,16,7,12,19
model102769.csv,14,7,7,14
model110685.csv,15,6,15,21
model17011.csv,9,6,17,23
model67232.csv,13,7,14,21
model7185.csv,13,7,20,27
model69206.csv,16,10,11,21
model36322.csv,16,6,20,26
model91419.csv,14,6,8,14
model87218.csv,13,6,4,10
model108281.csv,13,6,7,13
model44915.csv,12,6,14,20
model88838.csv,13,7,10,17
model78700.csv,13,6,13,19
model55679.csv,13,7,6,13
model47316.csv,14,8,17,25
model93858.csv,17,6,11,17
model26168.csv,11,6,15,21
model55913.csv,14,6,18,24
model20538.csv,15,6,15,21
model58498.csv,12,8,19,27
model65147.csv,15,9,6,15
model84867.csv,14,8,6,14
model74677.csv,14,8,14,22
model94534.csv,14,6,13,19
model20953.csv,15,8,16,24
model102397.csv,16,7,10,17
model28340.csv,13,8,19,27
model38697.csv,16,10,7,17
model49270.csv,14,6,21,27
model44928.csv,11,8,17,25
model62588.csv,15,7,12,19
model74287.csv,14,6,15,21
model57879.csv,18,7,19,26
model18128.csv,13,7,9,16
model30454.csv,11,7,5,12
model117180.csv,14,7,12,19
model10659.csv,11,7,14,21
model37707.csv,12,7,22,29
model76971.csv,16,7,14,21
model91542.csv,16,7,16,23
model66277.csv,17,7,9,16
model26019.csv,9,6,4,10
model37617.csv,14,7,21,28
model2521.csv,14,8,15,23
model112357.csv,16,9,10,19
model66769.csv,16,7,9,16
model58996.csv,11,9,12,21
model114004.csv,17,8,19,27
model26621.csv,13,7,15,22
model73307.csv,15,6,12,18
model23915.csv,16,6,18,24
model68695.csv,15,6,16,22
model76837.csv,19,6,15,21
model14950.csv,16,8,16,24
model9359.csv,14,7,17,24
model36201.csv,13,7,18,25
model107817.csv,13,6,8,14
model82780.csv,16,6,19,25
model17549.csv,12,7,16,23
model100006.csv,18,6,12,18
model27544.csv,13,9,15,24
model45714.csv,14,9,5,14
model109233.csv,14,7,7,14
model54518.csv,16,9,18,27
model97470.csv,15,7,20,27
model2261.csv,13,9,15,24
model6587.csv,14,6,15,21
model10521.csv,11,6,20,26
model34594.csv,11,6,23,29
model75128.csv,16,6,18,24
model67191.csv,14,7,13,20
model79833.csv,14,7,15,22
model95284.csv,14,6,19,25
model100452.csv,15,9,14,23
model107269.csv,13,7,18,25
model33379.csv,8,6,4,10
model98194.csv,17,7,18,25
model117761.csv,17,8,12,20
model56645.csv,13,7,17,24
model10427.csv,13,8,18,26
model115651.csv,15,8,5,13
model29182.csv,14,8,18,26
model31099.csv,14,7,18,25
model115329.csv,15,8,18,26
model44226.csv,14,7,15,22
model119896.csv,16,7,20,27
model96348.csv,14,7,17,24
model214.csv,10,6,13,19
model76899.csv,16,7,15,22
model1711.csv,12,9,12,21
model111307.csv,15,8,15,23
model57131.csv,14,6,22,28
model117816.csv,15,7,16,23
model23093.csv,12,7,3,10
model65167.csv,10,8,0,8
model22550.csv,15,8,16,24
model26352.csv,12,8,6,14
model81718.csv,15,7,17,24
model61656.csv,12,7,17,24
model92330.csv,16,7,6,13
model16538.csv,14,6,18,24
model7649.csv,14,7,14,21
model61727.csv,13,8,14,22
model111417.csv,12,7,4,11
model25152.csv,13,8,11,19
model12825.csv,15,8,14,22
model120518.csv,16,7,20,27
model112483.csv,19,10,11,21
model19560.csv,14,7,14,21
model45974.csv,15,9,12,21
model116326.csv,14,7,14,21
model28746.csv,14,7,16,23
model99750.csv,13,8,11,19
model46112.csv,16,8,18,26
model82352.csv,18,11,12,23
model112606.csv,19,7,15,22
model74746.csv,15,7,6,13
model103048.csv,18,8,11,19
model122598.csv,17,8,18,26
model88711.csv,15,6,15,21
model642.csv,9,8,0,8
model118037.csv,12,6,9,15
model11596.csv,9,7,1,8
model123394.csv,15,9,17,26
model44691.csv,14,8,12,20
model39753.csv,10,9,2,11
model21587.csv,17,7,15,22
model36607.csv,11,8,9,17
model34543.csv,12,7,23,30
model74066.csv,15,6,16,22
model59690.csv,12,7,12,19
model56109.csv,12,6,16,22
model1785.csv,12,8,13,21
model38828.csv,14,7,10,17
model86393.csv,17,7,12,19
model17431.csv,13,7,18,25
model99057.csv,12,7,4,11
model84409.csv,13,7,18,25
model119805.csv,12,6,22,28
model99161.csv,15,7,11,18
model20935.csv,14,9,16,25
model109162.csv,16,6,15,21
model77908.csv,13,8,10,18
model9760.csv,14,8,14,22
model52859.csv,15,8,15,23
model4383.csv,13,6,18,24
model3024.csv,13,7,13,20
model62371.csv,16,7,14,21
model118003.csv,11,6,7,13
model53523.csv,15,7,18,25
model64073.csv,13,7,13,20
model5263.csv,12,8,16,24
model65530.csv,14,8,0,8
model28291.csv,15,6,19,25
model45258.csv,14,8,16,24
model78534.csv,14,8,12,20
model18208.csv,13,7,11,18
model109359.csv,14,6,16,22
model86301.csv,16,8,13,21
model110305.csv,13,6,14,20
model71611.csv,13,7,8,15
model95221.csv,16,8,18,26
model45843.csv,16,9,12,21
model80776.csv,11,6,8,14
model75697.csv,16,8,4,12
model103483.csv,15,6,13,19
model59008.csv,10,7,12,19
model74847.csv,17,7,14,21
model22425.csv,16,7,19,26
model109387.csv,14,8,15,23
model16814.csv,13,7,19,26
model35368.csv,12,6,15,21
model105178.csv,15,8,15,23
model42698.csv,14,7,10,17
model85391.csv,15,7,9,16
model35627.csv,12,7,20,27
model12448.csv,12,6,16,22
model121536.csv,19,7,19,26
model24875.csv,13,7,10,17
model97402.csv,14,6,20,26
model71325.csv,14,8,13,21
model102337.csv,14,8,10,18
model12836.csv,14,10,15,25
model7204.csv,14,6,20,26
model109447.csv,16,6,19,25
model46212.csv,17,7,17,24
model99169.csv,14,7,12,19
model52632.csv,15,8,17,25
model65273.csv,13,9,11,20
model13740.csv,13,7,7,14
model25228.csv,12,8,2,10
model84682.csv,15,7,18,25
model5021.csv,14,9,16,25
model65246.csv,13,7,11,18
model12778.csv,11,7,13,20
model13862.csv,13,7,15,22
model89034.csv,12,8,3,11
model67118.csv,16,6,13,19
model21960.csv,15,7,17,24
model96106.csv,14,7,8,15
model59496.csv,12,7,12,19
model12663.csv,13,6,16,22
model89156.csv,16,7,11,18
model81313.csv,12,6,6,12
model93076.csv,16,6,16,22
model9400.csv,13,10,18,28
model81982.csv,17,7,18,25
model36676.csv,11,6,20,26
model67978.csv,17,9,12,21
model105839.csv,14,6,8,14
model17919.csv,11,6,10,16
model19571.csv,17,8,15,23
model123122.csv,13,6,21,27
model96460.csv,16,7,16,23
model10910.csv,10,7,10,17
model23960.csv,12,6,19,25
model6697.csv,12,6,20,26
model50106.csv,15,9,18,27
model64522.csv,13,7,10,17
model112696.csv,14,6,8,14
model50957.csv,15,9,18,27
model116423.csv,13,6,18,24
model39716.csv,13,6,7,13
model34794.csv,11,8,22,30
model112760.csv,14,7,8,15
model55825.csv,13,7,17,24
model103011.csv,16,6,12,18
model97243.csv,15,7,19,26
model52057.csv,12,6,21,27
model31543.csv,16,7,20,27
model87447.csv,19,6,16,22
model34162.csv,13,6,21,27
model67986.csv,17,8,13,21
model49112.csv,15,7,20,27
model61246.csv,14,7,12,19
model97151.csv,17,7,16,23
model100623.csv,13,6,16,22
model9435.csv,12,9,19,28
model65131.csv,14,6,11,17
model12111.csv,12,7,4,11
model96985.csv,14,7,7,14
model44018.csv,14,9,11,20
model91409.csv,13,9,3,12
model87816.csv,17,8,9,17
model1805.csv,11,6,14,20
model104597.csv,14,7,14,21
model21896.csv,13,7,18,25
model51641.csv,12,7,20,27
model39588.csv,15,6,17,23
model15198.csv,12,6,18,24
model53341.csv,18,9,15,24
model81805.csv,16,7,17,24
model87819.csv,15,6,10,16
model37995.csv,11,8,9,17
model59841.csv,10,6,13,19
model123009.csv,13,6,21,27
model115925.csv,14,7,14,21
model53174.csv,12,7,17,24
model119730.csv,15,7,20,27
model83407.csv,12,7,14,21
model70679.csv,15,8,13,21
model103318.csv,13,7,12,19
model121163.csv,17,7,20,27
model13064.csv,12,7,14,21
model98819.csv,13,7,11,18
model5694.csv,12,6,18,24
model105400.csv,12,7,11,18
model112748.csv,15,7,7,14
model71840.csv,14,7,10,17
model34196.csv,12,7,21,28
model38649.csv,13,8,9,17
model10769.csv,12,6,12,18
model75455.csv,17,9,14,23
model83562.csv,15,6,17,23
model120637.csv,15,6,22,28
model98802.csv,15,9,8,17
model61776.csv,11,7,4,11
model42073.csv,13,8,16,24
model114576.csv,15,6,20,26
model108834.csv,15,7,10,17
model50352.csv,11,7,11,18
model41847.csv,10,6,4,10
model83741.csv,17,7,17,24
model110644.csv,16,8,12,20
model7232.csv,13,7,18,25
model98575.csv,15,7,9,16
model100051.csv,14,7,13,20
model62587.csv,14,9,11,20
model8662.csv,11,8,19,27
model96090.csv,12,6,6,12
model91889.csv,13,6,18,24
model102699.csv,9,7,0,7
model25717.csv,15,9,10,19
model64509.csv,13,8,10,18
model82881.csv,16,6,19,25
model63727.csv,14,8,16,24
model75775.csv,14,8,1,9
model122566.csv,16,7,19,26
model35072.csv,14,7,22,29
model31602.csv,14,7,20,27
model16736.csv,10,7,2,9
model55943.csv,14,6,18,24
model46956.csv,14,7,12,19
model74489.csv,16,6,12,18
model119636.csv,17,10,17,27
model64718.csv,14,8,1,9
model39531.csv,12,7,17,24
model122939.csv,18,10,16,26
model35267.csv,11,7,20,27
model25414.csv,13,8,11,19
model114743.csv,18,7,18,25
model20280.csv,16,7,14,21
model89338.csv,16,7,12,19
model28435.csv,13,7,16,23
model75084.csv,14,7,14,21
model108490.csv,15,8,7,15
model9988.csv,10,6,22,28
model90871.csv,17,6,16,22
model96837.csv,16,6,17,23
model108001.csv,17,7,15,22
model53306.csv,14,9,11,20
model68506.csv,15,10,2,12
model81751.csv,17,8,16,24
model60346.csv,12,7,15,22
model113031.csv,16,8,14,22
model43846.csv,14,7,12,19
model5783.csv,13,9,19,28
model81741.csv,14,8,18,26
